Time,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Temperature,AirDensity,vSpeed,RPS,Delta_Pressure,wind_speed_ms,power,cadence
114.871,0.16,-0.31,8.63,-0.52,-0.01,-0.72,12.6,1.24,2.88,1.37,6.00,3.1,0.00,0.0
116.837,1.92,-0.23,6.98,-0.65,0.00,-0.56,12.4,1.24,2.95,1.40,-13.00,0.0,0.00,0.0
118.610,2.76,-0.44,8.94,-0.26,0.06,0.43,12.1,1.24,3.09,1.47,25.00,6.4,0.00,0.0
120.380,-0.94,-1.72,10.48,-0.29,-0.28,-1.10,12.0,1.24,3.15,1.49,19.00,5.5,0.00,0.0
122.154,1.32,-0.51,11.00,-0.03,-0.29,-1.04,11.8,1.24,3.17,1.51,19.00,5.5,0.00,0.0
123.931,1.19,-0.06,10.86,0.01,0.06,0.39,11.7,1.24,3.24,1.54,6.00,3.1,0.00,0.0
125.703,-2.30,4.87,14.34,-0.13,-0.23,-0.84,11.5,1.24,3.22,1.53,-13.00,0.0,0.00,0.0
127.541,18.26,-6.79,18.38,-2.20,-1.54,-1.32,11.3,1.24,3.17,1.50,6.00,3.1,0.00,0.0
129.315,1.93,3.06,9.90,-0.96,0.29,0.14,11.1,1.24,3.17,1.50,38.00,7.8,0.00,0.0
131.085,3.28,-1.76,8.35,-0.05,-0.44,-1.08,10.9,1.24,3.33,1.58,0.00,0.0,0.00,0.0
132.857,0.41,0.21,11.31,0.05,-0.30,-0.95,10.8,1.24,3.29,1.56,0.00,0.0,0.00,0.0
134.629,4.06,1.69,10.13,0.17,-0.16,-0.29,10.6,1.24,3.49,1.66,19.00,5.5,0.00,0.0
136.401,1.40,-0.83,11.26,0.42,-0.14,-0.40,10.5,1.25,3.43,1.63,0.00,0.0,0.00,0.0
138.371,-3.81,0.97,11.83,1.55,0.31,-0.61,10.3,1.25,3.28,1.56,19.00,5.5,0.00,0.0
140.143,1.36,0.45,9.62,0.16,-0.02,0.13,10.1,1.25,3.19,1.52,-57.00,0.0,0.00,0.0
141.914,2.56,1.06,11.60,1.64,-0.68,-0.92,9.9,1.25,3.33,1.58,-19.00,0.0,0.00,0.0
143.691,0.96,1.66,9.76,0.16,-0.35,-0.88,9.8,1.25,3.41,1.62,-13.00,0.0,0.00,0.0
145.461,1.01,0.77,9.96,-0.19,0.09,-0.14,9.6,1.25,3.44,1.63,-19.00,0.0,0.00,0.0
147.232,1.92,-0.09,10.13,0.21,-0.09,-0.34,9.5,1.25,3.60,1.71,6.00,3.1,0.00,0.0
149.003,-0.40,1.04,12.00,-0.06,-0.42,-0.83,9.3,1.25,3.35,1.59,-32.00,0.0,0.00,0.0
150.839,7.02,-2.88,10.19,0.02,0.24,-0.03,9.1,1.25,3.19,1.52,-32.00,0.0,0.00,0.0
152.612,2.68,-0.10,10.53,0.25,-0.06,0.23,8.9,1.25,3.32,1.58,-32.00,0.0,0.00,0.0
154.382,1.64,0.17,8.89,-0.29,0.16,-0.10,8.9,1.25,3.32,1.58,-32.00,0.0,0.00,0.0
156.155,3.60,-0.07,8.57,1.60,-0.42,0.03,8.8,1.25,3.25,1.54,-38.00,0.0,0.00,0.0
157.929,2.32,2.23,9.02,-0.56,0.18,0.08,8.7,1.25,3.18,1.51,-50.00,0.0,0.00,0.0
159.702,1.33,-0.09,10.06,-0.01,0.00,-0.00,8.6,1.25,2.91,1.38,-50.00,0.0,0.00,0.0
161.680,1.33,-1.26,9.94,-0.03,0.01,0.00,8.6,1.25,0.04,0.02,-50.00,0.0,0.00,0.0
163.453,1.47,-1.12,9.97,0.01,0.01,0.01,8.6,1.25,0.00,0.00,-50.00,0.0,0.00,0.0
165.233,1.48,-0.99,9.89,0.01,0.00,0.01,8.5,1.25,0.00,0.00,-57.00,0.0,0.00,0.0
